Variables = LogStrainRate, Temperature, Xi
Zone I = 51 J = 21 F = POINT	
0.9	763	-0.149765
1	763	-0.131063
1.1	763	-0.109872
1.2	763	-0.087798
1.3	763	-0.066353
1.4	763	-0.046811
1.5	763	-0.030113
1.6	763	-0.016827
1.7	763	-0.007177
1.8	763	-0.001102
1.9	763	0.001664
2	763	0.001513
		
-3	773	0.817314
-2.9	773	0.792065
-2.8	773	0.766825
-2.7	773	0.741742
-2.6	773	0.716909
-2.5	773	0.69236
-2.4	773	0.668068
-2.3	773	0.643954
-2.2	773	0.619891
-2.1	773	0.595718
-2	773	0.571255
-1.9	773	0.546318
-1.8	773	0.520733
-1.7	773	0.49435
-1.6	773	0.467055
-1.5	773	0.438782
-1.4	773	0.409518
-1.3	773	0.379312
-1.2	773	0.348281
-1.1	773	0.316613
-1	773	0.284569
-0.9	773	0.25248
-0.8	773	0.220751
-0.7	773	0.189841
-0.6	773	0.160258
-0.5	773	0.132531
-0.4	773	0.107186
-0.3	773	0.084701
-0.2	773	0.065473
-0.1	773	0.049776
0	773	0.037723
0.1	773	0.029242
0.2	773	0.024075
0.3	773	0.021791
0.4	773	0.02182
0.5	773	0.023505
0.6	773	0.026164
0.7	773	0.029143
0.8	773	0.031871
0.9	773	0.033888
1	773	0.034863
1.1	773	0.034592
1.2	773	0.032987
1.3	773	0.030054
1.4	773	0.025869
1.5	773	0.020556
1.6	773	0.014265
1.7	773	0.007158
1.8	773	-0.000603
1.9	773	-0.008868
2	773	-0.017497
